DATE,PRICE
2005-06-01,92.055
2005-07-01,90.079
2005-08-01,61.57899999999999
2005-09-01,53.841
2005-10-01,58.083
2005-11-01,64.56
2005-12-01,59.8314
2006-01-01,60.863
2006-02-01,65.55
2006-03-01,64.8
2006-04-01,72.847
2006-05-01,80.745
2006-06-01,88.42
2006-07-01,88.4145
2006-08-01,70.075
2006-09-01,60.901
2006-10-01,52.23
2006-11-01,54.5905
2006-12-01,62.5733
2007-01-01,63.03
2007-02-01,66.91
2007-03-01,71.75
2007-04-01,83.09
2007-05-01,97.46
2007-06-01,113.92
2007-07-01,113.78
2007-08-01,80.91
2007-09-01,66.8
2007-10-01,68.45
2007-11-01,75.93
2007-12-01,81.56
2008-01-01,84.27
2008-02-01,90.72
2008-03-01,96.81
2008-04-01,113.13
2008-05-01,124.89
2008-06-01,131.54
2008-07-01,129.53
2008-08-01,94.41
2008-09-01,80.7
2008-10-01,80.96
2008-11-01,92.0
2008-12-01,96.19
2009-01-01,108.8
2009-02-01,115.5
2009-03-01,109.32
2009-04-01,123.93
2009-05-01,130.9
2009-06-01,135.03
2009-07-01,121.35
2009-08-01,112.04
2009-09-01,112.4
2009-10-01,113.48
2009-11-01,120.64
2009-12-01,137.84
2010-01-01,130.19
2010-02-01,139.96
2010-03-01,142.42
2010-04-01,153.88
2010-05-01,167.71
2010-06-01,194.79
2010-07-01,196.37
2010-08-01,140.13
2010-09-01,115.82
2010-10-01,124.65
2010-11-01,114.45
2010-12-01,132.85
2011-01-01,154.22
2011-02-01,150.1
2011-03-01,160.43
2011-04-01,173.61
2011-05-01,190.91
2011-06-01,194.23
2011-07-01,202.1
2011-08-01,156.6
2011-09-01,132.91
2011-10-01,130.15
2011-11-01,136.1
2011-12-01,159.44
2012-01-01,185.25
2012-02-01,195.75
2012-03-01,203.77
2012-04-01,208.18
2012-05-01,246.16
2012-06-01,280.46
2012-07-01,258.3
2012-08-01,203.1
2012-09-01,185.46
2012-10-01,191.7
2012-11-01,202.0
2012-12-01,218.9
2013-01-01,245.7
2013-02-01,251.8
2013-03-01,250.0
2013-04-01,270.32
2013-05-01,297.4
2013-06-01,282.81
2013-07-01,265.8
2013-08-01,216.6
2013-09-01,183.9
2013-10-01,209.83
2013-11-01,209.83
2013-12-01,249.3
2014-01-01,231.59
2014-02-01,240.31
2014-03-01,252.87
2014-04-01,263.83
2014-05-01,295.13
2014-06-01,344.45
2014-07-01,322.36
2014-08-01,285.3
2014-09-01,239.67
2014-10-01,230.58
2014-11-01,231.92
2014-12-01,268.0
2015-01-01,256.87
2015-02-01,259.37
2015-03-01,277.06
2015-04-01,287.39
2015-05-01,345.26
2015-06-01,378.35
2015-07-01,376.93
2015-08-01,368.4
2015-09-01,301.04
2015-10-01,309.44
2015-11-01,327.25
2015-12-01,345.17
2016-01-01,375.13
2016-02-01,382.98
2016-03-01,423.63
2016-04-01,473.1
2016-05-01,524.89
2016-06-01,507.0
2016-07-01,507.53
2016-08-01,422.7
2016-09-01,383.06
2016-10-01,383.06
2016-11-01,400.17
2016-12-01,424.69
2017-01-01,473.95
2017-02-01,476.47
2017-03-01,528.26
2017-04-01,561.18
2017-05-01,551.12
2017-06-01,637.65
2017-07-01,589.93
2017-08-01,524.45
2017-09-01,482.71
2017-10-01,447.24
2017-11-01,462.33
2017-12-01,461.76
